timestamped_line
[14:48:56] ▶ Starting baseline phase for 5 seconds...
[14:48:56] [BASE] t = 0.050 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.100 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.150 s | ADC: 3207 | V: 2.5844
[14:49:04] [MAIN] t = 5.200 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.250 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.300 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.350 s | ADC: 3208 | V: 2.5852
[14:49:04] [MAIN] t = 5.400 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 5.450 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 5.500 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 5.550 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 5.600 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 5.650 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 5.700 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 5.750 s | ADC: 3209 | V: 2.5860
[14:49:05] [MAIN] t = 5.800 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 5.850 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 5.900 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 5.950 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.000 s | ADC: 3209 | V: 2.5860
[14:49:05] [MAIN] t = 6.050 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.100 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.150 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.200 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.250 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.300 s | ADC: 3208 | V: 2.5852
[14:49:05] [MAIN] t = 6.350 s | ADC: 3207 | V: 2.5844
[14:49:05] [MAIN] t = 6.400 s | ADC: 3208 | V: 2.5852
[14:49:06] [MAIN] t = 6.450 s | ADC: 3208 | V: 2.5852
[14:49:06] [MAIN] t = 6.500 s | ADC: 3207 | V: 2.5844
[14:49:06] [MAIN] t = 6.550 s | ADC: 3208 | V: 2.5852
[14:49:06] [MAIN] t = 6.600 s | ADC: 3208 | V: 2.5852
[14:49:06] [MAIN] t = 6.650 s | ADC: 3207 | V: 2.5844
[14:49:06] [MAIN] t = 6.700 s | ADC: 3207 | V: 2.5844
[14:49:06] [MAIN] t = 6.750 s | ADC: 3209 | V: 2.5860
[14:49:06] [MAIN] t = 6.800 s | ADC: 3208 | V: 2.5852
[14:49:06] [MAIN] t = 6.850 s | ADC: 3209 | V: 2.5860
[14:49:06] [MAIN] t = 6.900 s | ADC: 3208 | V: 2.5852
