timestamped_line
[17:22:23] ▶ Starting baseline phase for 5 seconds...
[17:22:23] [BASE] t = 0.050 s | ADC: 1252 | V: 1.0089
[17:22:26] [BASE] t = 3.000 s | ADC: 1253 | V: 1.0097
[17:22:26] ✅ Baseline complete. Starting main recording for 20 seconds...
[17:22:26] [MAIN] t = 0.000 s | ADC: 1259 | V: 1.0146
[17:22:26] [MAIN] t = 0.050 s | ADC: 1259 | V: 1.0146
[17:22:26] [MAIN] t = 0.100 s | ADC: 1263 | V: 1.0178
[17:22:26] [MAIN] t = 0.150 s | ADC: 1260 | V: 1.0154
[17:22:26] [MAIN] t = 0.200 s | ADC: 1254 | V: 1.0105
[17:22:26] [MAIN] t = 0.250 s | ADC: 1253 | V: 1.0097
[17:22:26] [MAIN] t = 0.300 s | ADC: 1257 | V: 1.0130
[17:22:26] [MAIN] t = 0.350 s | ADC: 1261 | V: 1.0162
[17:22:26] [MAIN] t = 0.400 s | ADC: 1255 | V: 1.0114
[17:22:26] [MAIN] t = 0.450 s | ADC: 1256 | V: 1.0122
[17:22:26] [MAIN] t = 0.500 s | ADC: 1258 | V: 1.0138
[17:22:26] [MAIN] t = 0.550 s | ADC: 1257 | V: 1.0130
[17:22:26] [MAIN] t = 0.600 s | ADC: 1255 | V: 1.0114
[17:22:26] [MAIN] t = 0.650 s | ADC: 1258 | V: 1.0138
[17:22:26] [MAIN] t = 0.700 s | ADC: 1256 | V: 1.0122
[17:22:26] [MAIN] t = 0.750 s | ADC: 1258 | V: 1.0138
[17:22:26] [MAIN] t = 0.800 s | ADC: 1257 | V: 1.0130
[17:22:26] [MAIN] t = 0.850 s | ADC: 1259 | V: 1.0146
[17:22:27] [MAIN] t = 0.900 s | ADC: 1261 | V: 1.0162
[17:22:27] [MAIN] t = 0.950 s | ADC: 1260 | V: 1.0154
[17:22:27] [MAIN] t = 1.000 s | ADC: 1253 | V: 1.0097
[17:22:27] [MAIN] t = 1.050 s | ADC: 1256 | V: 1.0122
[17:22:27] [MAIN] t = 1.100 s | ADC: 1254 | V: 1.0105
[17:22:27] [MAIN] t = 1.150 s | ADC: 1257 | V: 1.0130
[17:22:27] [MAIN] t = 1.200 s | ADC: 1256 | V: 1.0122
[17:22:27] [MAIN] t = 1.250 s | ADC: 1254 | V: 1.0105
[17:22:27] [MAIN] t = 1.300 s | ADC: 1256 | V: 1.0122
[17:22:27] [MAIN] t = 1.350 s | ADC: 1258 | V: 1.0138
[17:22:27] [MAIN] t = 1.400 s | ADC: 1258 | V: 1.0138
[17:22:27] [MAIN] t = 1.450 s | ADC: 1259 | V: 1.0146
[17:22:27] [MAIN] t = 1.500 s | ADC: 1259 | V: 1.0146
[17:22:27] [MAIN] t = 1.550 s | ADC: 1260 | V: 1.0154
[17:22:27] [MAIN] t = 1.600 s | ADC: 1257 | V: 1.0130
[17:22:27] [MAIN] t = 1.650 s | ADC: 1246 | V: 1.0041
[17:22:27] [MAIN] t = 1.700 s | ADC: 1254 | V: 1.0105
[17:22:27] [MAIN] t = 1.750 s | ADC: 1256 | V: 1.0122
[17:22:27] [MAIN] t = 1.800 s | ADC: 1258 | V: 1.0138
[17:22:27] [MAIN] t = 1.850 s | ADC: 1256 | V: 1.0122
[17:22:28] [MAIN] t = 1.900 s | ADC: 1258 | V: 1.0138
[17:22:28] [MAIN] t = 1.950 s | ADC: 1263 | V: 1.0178
[17:22:28] [MAIN] t = 2.000 s | ADC: 1259 | V: 1.0146
[17:22:28] [MAIN] t = 2.050 s | ADC: 1256 | V: 1.0122
[17:22:28] [MAIN] t = 2.100 s | ADC: 1259 | V: 1.0146
[17:22:28] [MAIN] t = 2.150 s | ADC: 1255 | V: 1.0114
[17:22:28] [MAIN] t = 2.200 s | ADC: 1254 | V: 1.0105
[17:22:28] [MAIN] t = 2.250 s | ADC: 1250 | V: 1.0073
[17:22:28] [MAIN] t = 2.300 s | ADC: 1257 | V: 1.0130
[17:22:28] [MAIN] t = 2.350 s | ADC: 1256 | V: 1.0122
[17:22:28] [MAIN] t = 2.400 s | ADC: 1260 | V: 1.0154
[17:22:28] [MAIN] t = 2.450 s | ADC: 1253 | V: 1.0097
[17:22:28] [MAIN] t = 2.500 s | ADC: 1258 | V: 1.0138
[17:22:28] [MAIN] t = 2.550 s | ADC: 1259 | V: 1.0146
[17:22:28] [MAIN] t = 2.600 s | ADC: 1255 | V: 1.0114
[17:22:28] [MAIN] t = 2.650 s | ADC: 1254 | V: 1.0105
[17:22:28] [MAIN] t = 2.700 s | ADC: 1255 | V: 1.0114
[17:22:28] [MAIN] t = 2.750 s | ADC: 1258 | V: 1.0138
[17:22:28] [MAIN] t = 2.800 s | ADC: 1258 | V: 1.0138
[17:22:28] [MAIN] t = 2.850 s | ADC: 1257 | V: 1.0130
[17:22:29] [MAIN] t = 2.900 s | ADC: 1256 | V: 1.0122
[17:22:29] [MAIN] t = 2.950 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.000 s | ADC: 1253 | V: 1.0097
[17:22:29] [MAIN] t = 3.050 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.100 s | ADC: 1255 | V: 1.0114
[17:22:29] [MAIN] t = 3.150 s | ADC: 1258 | V: 1.0138
[17:22:29] [MAIN] t = 3.200 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.250 s | ADC: 1255 | V: 1.0114
[17:22:29] [MAIN] t = 3.300 s | ADC: 1249 | V: 1.0065
[17:22:29] [MAIN] t = 3.350 s | ADC: 1258 | V: 1.0138
[17:22:29] [MAIN] t = 3.400 s | ADC: 1260 | V: 1.0154
[17:22:29] [MAIN] t = 3.450 s | ADC: 1260 | V: 1.0154
[17:22:29] [MAIN] t = 3.500 s | ADC: 1254 | V: 1.0105
[17:22:29] [MAIN] t = 3.550 s | ADC: 1257 | V: 1.0130
[17:22:29] [MAIN] t = 3.600 s | ADC: 1261 | V: 1.0162
[17:22:29] [MAIN] t = 3.650 s | ADC: 1256 | V: 1.0122
[17:22:29] [MAIN] t = 3.700 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.750 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.800 s | ADC: 1259 | V: 1.0146
[17:22:29] [MAIN] t = 3.850 s | ADC: 1257 | V: 1.0130
[17:22:30] [MAIN] t = 3.900 s | ADC: 1254 | V: 1.0105
[17:22:30] [MAIN] t = 3.950 s | ADC: 1258 | V: 1.0138
[17:22:30] [MAIN] t = 4.000 s | ADC: 1258 | V: 1.0138
[17:22:30] [MAIN] t = 4.050 s | ADC: 1262 | V: 1.0170
[17:22:30] [MAIN] t = 4.100 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.150 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.200 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.250 s | ADC: 1255 | V: 1.0114
[17:22:30] [MAIN] t = 4.300 s | ADC: 1255 | V: 1.0114
[17:22:30] [MAIN] t = 4.350 s | ADC: 1257 | V: 1.0130
[17:22:30] [MAIN] t = 4.400 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.450 s | ADC: 1255 | V: 1.0114
[17:22:30] [MAIN] t = 4.500 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.550 s | ADC: 1258 | V: 1.0138
[17:22:30] [MAIN] t = 4.600 s | ADC: 1260 | V: 1.0154
[17:22:30] [MAIN] t = 4.650 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.700 s | ADC: 1259 | V: 1.0146
[17:22:30] [MAIN] t = 4.750 s | ADC: 1256 | V: 1.0122
[17:22:30] [MAIN] t = 4.800 s | ADC: 1258 | V: 1.0138
[17:22:30] [MAIN] t = 4.850 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 4.900 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 4.950 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 5.000 s | ADC: 1257 | V: 1.0130
[17:22:31] [MAIN] t = 5.050 s | ADC: 1260 | V: 1.0154
[17:22:31] [MAIN] t = 5.100 s | ADC: 1256 | V: 1.0122
[17:22:31] [MAIN] t = 5.150 s | ADC: 1255 | V: 1.0114
[17:22:31] [MAIN] t = 5.200 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 5.250 s | ADC: 1256 | V: 1.0122
[17:22:31] [MAIN] t = 5.300 s | ADC: 1254 | V: 1.0105
[17:22:31] [MAIN] t = 5.350 s | ADC: 1251 | V: 1.0081
[17:22:31] [MAIN] t = 5.400 s | ADC: 1256 | V: 1.0122
[17:22:31] [MAIN] t = 5.450 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 5.500 s | ADC: 1259 | V: 1.0146
[17:22:31] [MAIN] t = 5.550 s | ADC: 1258 | V: 1.0138
[17:22:31] [MAIN] t = 5.600 s | ADC: 1255 | V: 1.0114
[17:22:31] [MAIN] t = 5.650 s | ADC: 1262 | V: 1.0170
[17:22:31] [MAIN] t = 5.700 s | ADC: 1262 | V: 1.0170
[17:22:31] [MAIN] t = 5.750 s | ADC: 1261 | V: 1.0162
[17:22:31] [MAIN] t = 5.800 s | ADC: 1262 | V: 1.0170
[17:22:31] [MAIN] t = 5.850 s | ADC: 1262 | V: 1.0170
[17:22:32] [MAIN] t = 5.900 s | ADC: 1258 | V: 1.0138
[17:22:32] [MAIN] t = 5.950 s | ADC: 1258 | V: 1.0138
[17:22:32] [MAIN] t = 6.000 s | ADC: 1254 | V: 1.0105
[17:22:32] [MAIN] t = 6.050 s | ADC: 1253 | V: 1.0097
[17:22:32] [MAIN] t = 6.100 s | ADC: 1263 | V: 1.0178
[17:22:32] [MAIN] t = 6.150 s | ADC: 1253 | V: 1.0097
[17:22:32] [MAIN] t = 6.200 s | ADC: 1258 | V: 1.0138
[17:22:32] [MAIN] t = 6.250 s | ADC: 1260 | V: 1.0154
[17:22:32] [MAIN] t = 6.300 s | ADC: 1257 | V: 1.0130
[17:22:32] [MAIN] t = 6.350 s | ADC: 1253 | V: 1.0097
[17:22:32] [MAIN] t = 6.400 s | ADC: 1258 | V: 1.0138
[17:22:32] [MAIN] t = 6.450 s | ADC: 1251 | V: 1.0081
[17:22:32] [MAIN] t = 6.500 s | ADC: 1250 | V: 1.0073
[17:22:32] [MAIN] t = 6.550 s | ADC: 1253 | V: 1.0097
[17:22:32] [MAIN] t = 6.600 s | ADC: 1258 | V: 1.0138
[17:22:32] [MAIN] t = 6.650 s | ADC: 1261 | V: 1.0162
[17:22:32] [MAIN] t = 6.700 s | ADC: 1262 | V: 1.0170
[17:22:32] [MAIN] t = 6.750 s | ADC: 1255 | V: 1.0114
[17:22:32] [MAIN] t = 6.800 s | ADC: 1259 | V: 1.0146
[17:22:32] [MAIN] t = 6.850 s | ADC: 1255 | V: 1.0114
[17:22:33] [MAIN] t = 6.900 s | ADC: 1255 | V: 1.0114
