timestamped_line
[14:08:11] ▶ Starting baseline phase for 5 seconds...
[14:08:11] [BASE] t = 0.050 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 0.850 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 0.900 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 0.950 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 1.000 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 1.050 s | ADC: 2357 | V: 1.8994
[14:08:15] [MAIN] t = 1.100 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 1.150 s | ADC: 2357 | V: 1.8994
[14:08:15] [MAIN] t = 1.200 s | ADC: 2354 | V: 1.8970
[14:08:15] [MAIN] t = 1.250 s | ADC: 2354 | V: 1.8970
[14:08:15] [MAIN] t = 1.300 s | ADC: 2354 | V: 1.8970
[14:08:15] [MAIN] t = 1.350 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 1.400 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 1.450 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 1.500 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 1.550 s | ADC: 2355 | V: 1.8978
[14:08:16] [MAIN] t = 1.600 s | ADC: 2355 | V: 1.8978
[14:08:16] [MAIN] t = 1.650 s | ADC: 2357 | V: 1.8994
[14:08:16] [MAIN] t = 1.700 s | ADC: 2356 | V: 1.8986
[14:08:16] [MAIN] t = 1.750 s | ADC: 2356 | V: 1.8986
[14:08:16] [MAIN] t = 1.800 s | ADC: 2358 | V: 1.9002
[14:08:16] [MAIN] t = 1.850 s | ADC: 2357 | V: 1.8994
[14:08:16] [MAIN] t = 1.900 s | ADC: 2356 | V: 1.8986
[14:08:16] [MAIN] t = 1.950 s | ADC: 2357 | V: 1.8994
[14:08:16] [MAIN] t = 2.000 s | ADC: 2358 | V: 1.9002
[14:08:16] [MAIN] t = 2.050 s | ADC: 2357 | V: 1.8994
[14:08:16] [MAIN] t = 2.100 s | ADC: 2358 | V: 1.9002
[14:08:16] [MAIN] t = 2.150 s | ADC: 2358 | V: 1.9002
[14:08:16] [MAIN] t = 2.200 s | ADC: 2357 | V: 1.8994
[14:08:16] [MAIN] t = 2.250 s | ADC: 2358 | V: 1.9002
[14:08:16] [MAIN] t = 2.300 s | ADC: 2359 | V: 1.9010
[14:08:16] [MAIN] t = 2.350 s | ADC: 2360 | V: 1.9018
[14:08:16] [MAIN] t = 2.400 s | ADC: 2359 | V: 1.9010
[14:08:16] [MAIN] t = 2.450 s | ADC: 2359 | V: 1.9010
[14:08:16] [MAIN] t = 2.500 s | ADC: 2359 | V: 1.9010
[14:08:16] [MAIN] t = 2.550 s | ADC: 2360 | V: 1.9018
[14:08:17] [MAIN] t = 2.600 s | ADC: 2359 | V: 1.9010
[14:08:17] [MAIN] t = 2.650 s | ADC: 2359 | V: 1.9010
[14:08:17] [MAIN] t = 2.700 s | ADC: 2359 | V: 1.9010
[14:08:17] [MAIN] t = 2.750 s | ADC: 2360 | V: 1.9018
[14:08:17] [MAIN] t = 2.800 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 2.850 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 2.900 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 2.950 s | ADC: 2362 | V: 1.9034
[14:08:17] [MAIN] t = 3.000 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.050 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.100 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.150 s | ADC: 2362 | V: 1.9034
[14:08:17] [MAIN] t = 3.200 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.250 s | ADC: 2362 | V: 1.9034
[14:08:17] [MAIN] t = 3.300 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.350 s | ADC: 2361 | V: 1.9026
[14:08:17] [MAIN] t = 3.400 s | ADC: 2360 | V: 1.9018
[14:08:17] [MAIN] t = 3.450 s | ADC: 2362 | V: 1.9034
[14:08:17] [MAIN] t = 3.500 s | ADC: 2362 | V: 1.9034
[14:08:17] [MAIN] t = 3.550 s | ADC: 2360 | V: 1.9018
[14:08:18] [MAIN] t = 3.600 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 3.650 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 3.700 s | ADC: 2363 | V: 1.9042
[14:08:18] [MAIN] t = 3.750 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 3.800 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 3.850 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 3.900 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 3.950 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.000 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.050 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 4.100 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.150 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 4.200 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 4.250 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.300 s | ADC: 2363 | V: 1.9042
[14:08:18] [MAIN] t = 4.350 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 4.400 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.450 s | ADC: 2362 | V: 1.9034
[14:08:18] [MAIN] t = 4.500 s | ADC: 2361 | V: 1.9026
[14:08:18] [MAIN] t = 4.550 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 4.600 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 4.650 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 4.700 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 4.750 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 4.800 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 4.850 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 4.900 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 4.950 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 5.000 s | ADC: 2360 | V: 1.9018
[14:08:19] [MAIN] t = 5.050 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 5.100 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 5.150 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 5.200 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 5.250 s | ADC: 2363 | V: 1.9042
[14:08:19] [MAIN] t = 5.300 s | ADC: 2361 | V: 1.9026
[14:08:19] [MAIN] t = 5.350 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 5.400 s | ADC: 2363 | V: 1.9042
[14:08:19] [MAIN] t = 5.450 s | ADC: 2362 | V: 1.9034
[14:08:19] [MAIN] t = 5.500 s | ADC: 2363 | V: 1.9042
[14:08:19] [MAIN] t = 5.550 s | ADC: 2364 | V: 1.9051
[14:08:20] [MAIN] t = 5.600 s | ADC: 2365 | V: 1.9059
[14:08:20] [MAIN] t = 5.650 s | ADC: 2363 | V: 1.9042
[14:08:20] [MAIN] t = 5.700 s | ADC: 2363 | V: 1.9042
[14:08:20] [MAIN] t = 5.750 s | ADC: 2362 | V: 1.9034
[14:08:20] [MAIN] t = 5.800 s | ADC: 2362 | V: 1.9034
[14:08:20] [MAIN] t = 5.850 s | ADC: 2363 | V: 1.9042
[14:08:20] [MAIN] t = 5.900 s | ADC: 2362 | V: 1.9034
[14:08:20] [MAIN] t = 5.950 s | ADC: 2365 | V: 1.9059
[14:08:20] [MAIN] t = 6.000 s | ADC: 2365 | V: 1.9059
[14:08:20] [MAIN] t = 6.050 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.100 s | ADC: 2365 | V: 1.9059
[14:08:20] [MAIN] t = 6.150 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.200 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.250 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.300 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.350 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.400 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.450 s | ADC: 2366 | V: 1.9067
[14:08:20] [MAIN] t = 6.500 s | ADC: 2365 | V: 1.9059
[14:08:20] [MAIN] t = 6.550 s | ADC: 2365 | V: 1.9059
[14:08:21] [MAIN] t = 6.600 s | ADC: 2366 | V: 1.9067
[14:08:21] [MAIN] t = 6.650 s | ADC: 2366 | V: 1.9067
[14:08:21] [MAIN] t = 6.700 s | ADC: 2365 | V: 1.9059
[14:08:21] [MAIN] t = 6.750 s | ADC: 2365 | V: 1.9059
[14:08:21] [MAIN] t = 6.800 s | ADC: 2366 | V: 1.9067
[14:08:21] [MAIN] t = 6.850 s | ADC: 2367 | V: 1.9075
[14:08:21] [MAIN] t = 6.900 s | ADC: 2366 | V: 1.9067
